Type;Niv;Demi;Type-Niv-Demi
T+;0;0;T+00_0
T+;99;9;T+99_9
T+;99;8;T+99_8
T+;99;7;T+99_7
T+;99;6;T+99_6
T+;99;5;T+99_5
T+;99;4;T+99_4
T+;99;3;T+99_3
T+;99;2;T+99_2
T+;99;1;T+99_1
T+;99;0;T+99_0
T+;98;9;T+98_9
T+;98;8;T+98_8
T+;98;7;T+98_7
T+;98;6;T+98_6
T+;98;5;T+98_5
T+;98;4;T+98_4
T+;98;3;T+98_3
T+;98;2;T+98_2
T+;98;1;T+98_1
T+;98;0;T+98_0
T+;97;9;T+97_9
T+;97;8;T+97_8
T+;97;7;T+97_7
T+;97;6;T+97_6
T+;97;5;T+97_5
T+;97;4;T+97_4
T+;97;3;T+97_3
T+;97;2;T+97_2
T+;97;1;T+97_1
T+;97;0;T+97_0
T+;96;9;T+96_9
T+;96;8;T+96_8
T+;96;7;T+96_7
T+;96;6;T+96_6
T+;96;5;T+96_5
T+;96;4;T+96_4
T+;96;3;T+96_3
T+;96;2;T+96_2
T+;96;1;T+96_1
T+;96;0;T+96_0
T+;95;9;T+95_9
T+;95;8;T+95_8
T+;95;7;T+95_7
T+;95;6;T+95_6
T+;95;5;T+95_5
T+;95;4;T+95_4
T+;95;3;T+95_3
T+;95;2;T+95_2
T+;95;1;T+95_1
T+;95;0;T+95_0
T+;94;9;T+94_9
T+;94;8;T+94_8
T+;94;7;T+94_7
T+;94;6;T+94_6
T+;94;5;T+94_5
T+;94;4;T+94_4
T+;94;3;T+94_3
T+;94;2;T+94_2
T+;94;1;T+94_1
T+;94;0;T+94_0
T+;93;9;T+93_9
T+;93;8;T+93_8
T+;93;7;T+93_7
T+;93;6;T+93_6
T+;93;5;T+93_5
T+;93;4;T+93_4
T+;93;3;T+93_3
T+;93;2;T+93_2
T+;93;1;T+93_1
T+;93;0;T+93_0
T+;92;9;T+92_9
T+;92;8;T+92_8
T+;92;7;T+92_7
T+;92;6;T+92_6
T+;92;5;T+92_5
T+;92;4;T+92_4
T+;92;3;T+92_3
T+;92;2;T+92_2
T+;92;1;T+92_1
T+;92;0;T+92_0
T+;91;9;T+91_9
T+;91;8;T+91_8
T+;91;7;T+91_7
T+;91;6;T+91_6
T+;91;5;T+91_5
T+;91;4;T+91_4
T+;91;3;T+91_3
T+;91;2;T+91_2
T+;91;1;T+91_1
T+;91;0;T+91_0
T+;90;9;T+90_9
T+;90;8;T+90_8
T+;90;7;T+90_7
T+;90;6;T+90_6
T+;90;5;T+90_5
T+;90;4;T+90_4
T+;90;3;T+90_3
T+;90;2;T+90_2
T+;90;1;T+90_1
T+;90;0;T+90_0
T+;89;9;T+89_9
T+;89;8;T+89_8
T+;89;7;T+89_7
T+;89;6;T+89_6
T+;89;5;T+89_5
T+;89;4;T+89_4
T+;89;3;T+89_3
T+;89;2;T+89_2
T+;89;1;T+89_1
T+;89;0;T+89_0
T+;88;9;T+88_9
T+;88;8;T+88_8
T+;88;7;T+88_7
T+;88;6;T+88_6
T+;88;5;T+88_5
T+;88;4;T+88_4
T+;88;3;T+88_3
T+;88;2;T+88_2
T+;88;1;T+88_1
T+;88;0;T+88_0
T+;87;9;T+87_9
T+;87;8;T+87_8
T+;87;7;T+87_7
T+;87;6;T+87_6
T+;87;5;T+87_5
T+;87;4;T+87_4
T+;87;3;T+87_3
T+;87;2;T+87_2
T+;87;1;T+87_1
T+;87;0;T+87_0
T+;86;9;T+86_9
T+;86;8;T+86_8
T+;86;7;T+86_7
T+;86;6;T+86_6
T+;86;5;T+86_5
T+;86;4;T+86_4
T+;86;3;T+86_3
T+;86;2;T+86_2
T+;86;1;T+86_1
T+;86;0;T+86_0
T+;85;9;T+85_9
T+;85;8;T+85_8
T+;85;7;T+85_7
T+;85;6;T+85_6
T+;85;5;T+85_5
T+;85;4;T+85_4
T+;85;3;T+85_3
T+;85;2;T+85_2
T+;85;1;T+85_1
T+;85;0;T+85_0
T+;84;9;T+84_9
T+;84;8;T+84_8
T+;84;7;T+84_7
T+;84;6;T+84_6
T+;84;5;T+84_5
T+;84;4;T+84_4
T+;84;3;T+84_3
T+;84;2;T+84_2
T+;84;1;T+84_1
T+;84;0;T+84_0
T+;83;9;T+83_9
T+;83;8;T+83_8
T+;83;7;T+83_7
T+;83;6;T+83_6
T+;83;5;T+83_5
T+;83;4;T+83_4
T+;83;3;T+83_3
T+;83;2;T+83_2
T+;83;1;T+83_1
T+;83;0;T+83_0
T+;82;9;T+82_9
T+;82;8;T+82_8
T+;82;7;T+82_7
T+;82;6;T+82_6
T+;82;5;T+82_5
T+;82;4;T+82_4
T+;82;3;T+82_3
T+;82;2;T+82_2
T+;82;1;T+82_1
T+;82;0;T+82_0
T+;81;9;T+81_9
T+;81;8;T+81_8
T+;81;7;T+81_7
T+;81;6;T+81_6
T+;81;5;T+81_5
T+;81;4;T+81_4
T+;81;3;T+81_3
T+;81;2;T+81_2
T+;81;1;T+81_1
T+;81;0;T+81_0
T+;80;9;T+80_9
T+;80;8;T+80_8
T+;80;7;T+80_7
T+;80;6;T+80_6
T+;80;5;T+80_5
T+;80;4;T+80_4
T+;80;3;T+80_3
T+;80;2;T+80_2
T+;80;1;T+80_1
T+;80;0;T+80_0
T+;79;9;T+79_9
T+;79;8;T+79_8
T+;79;7;T+79_7
T+;79;6;T+79_6
T+;79;5;T+79_5
T+;79;4;T+79_4
T+;79;3;T+79_3
T+;79;2;T+79_2
T+;79;1;T+79_1
T+;79;0;T+79_0
T+;78;9;T+78_9
T+;78;8;T+78_8
T+;78;7;T+78_7
T+;78;6;T+78_6
T+;78;5;T+78_5
T+;78;4;T+78_4
T+;78;3;T+78_3
T+;78;2;T+78_2
T+;78;1;T+78_1
T+;78;0;T+78_0
T+;77;9;T+77_9
T+;77;8;T+77_8
T+;77;7;T+77_7
T+;77;6;T+77_6
T+;77;5;T+77_5
T+;77;4;T+77_4
